iter	Logloss
0	0.6854386653
1	0.6777888926
2	0.6702639215
3	0.6630410752
4	0.6557126566
5	0.6486194203
6	0.6414499364
7	0.6347607017
8	0.6281076841
9	0.6216719295
10	0.6155110045
11	0.609337387
12	0.6030357481
13	0.5972176239
14	0.5913269857
15	0.5856342122
16	0.5801187372
17	0.5746600338
18	0.5693845342
19	0.5642878222
20	0.5592411145
21	0.5543203606
22	0.5494359046
23	0.5445886087
24	0.5399238596
25	0.5354315614
26	0.5310757114
27	0.5267210082
28	0.5223771538
29	0.518292288
30	0.5141366222
31	0.5102325782
32	0.5062508673
33	0.5023541803
34	0.4987592688
35	0.4950770692
36	0.4913668618
37	0.4879295615
38	0.4846286429
39	0.4811660915
40	0.4778746771
41	0.4747680749
42	0.4714898376
43	0.4683212352
44	0.4653901211
45	0.4623834083
46	0.4593731579
47	0.4566562358
48	0.4539283704
49	0.4511571194
50	0.4484248412
51	0.4457259782
52	0.4432940515
53	0.4408164521
54	0.438487082
55	0.4361686765
56	0.4339031924
57	0.4316775717
58	0.4294847447
59	0.427366276
60	0.4252271278
61	0.4232750483
62	0.4212163641
63	0.4191949357
64	0.4173357035
65	0.4153918546
66	0.4136155352
67	0.4118275416
68	0.4100366901
69	0.4082810807
70	0.4065212929
71	0.4049129835
72	0.4032894271
73	0.4017636794
74	0.4002355275
75	0.398563296
76	0.397019246
77	0.3954691062
78	0.3939129454
79	0.3924321379
80	0.3909966493
81	0.3896458683
82	0.3883655106
83	0.3871207723
84	0.3859123379
85	0.3844778211
86	0.3832359049
87	0.3820419841
88	0.3808941305
89	0.3796953781
90	0.3785853505
91	0.3774940449
92	0.3764486824
93	0.3753388564
94	0.3742533505
95	0.373346301
96	0.3724131006
97	0.3713988908
98	0.3704511939
99	0.3695373942
100	0.3686484143
101	0.3675924564
102	0.3667265498
103	0.3659065988
104	0.3650383524
105	0.3642215674
106	0.3633802889
107	0.3625910824
108	0.3618164192
109	0.3611007178
110	0.3603110761
111	0.3594696502
112	0.3587759417
113	0.3581048305
114	0.3573278174
115	0.3566770194
116	0.3559703559
117	0.3552757098
118	0.3545890163
119	0.3539350808
120	0.3532219506
121	0.352636359
122	0.3519894279
123	0.3513846486
124	0.3508682103
125	0.3502681176
126	0.3496871101
127	0.349169208
128	0.3486049235
129	0.3480335596
130	0.3474866207
131	0.3469200952
132	0.3464092523
133	0.3458794561
134	0.3454312358
135	0.3449277753
136	0.3444548996
137	0.3439509788
138	0.3434619273
139	0.3430007579
140	0.3425767728
141	0.3421312041
142	0.3416688952
143	0.3412797987
144	0.3408337457
145	0.3404251634
146	0.3400425621
147	0.3396727912
148	0.3393208894
149	0.3390221433
150	0.338689887
151	0.3383696237
152	0.3380548193
153	0.337765338
154	0.3374767015
155	0.3371436232
156	0.3367574234
157	0.3364339386
158	0.3360435264
159	0.3357029757
160	0.3354112027
161	0.3350902835
162	0.3347501917
163	0.3344744575
164	0.3341522561
165	0.333911177
166	0.3336035153
167	0.3333249387
168	0.3330264658
169	0.3327392806
170	0.3324385724
171	0.3322020078
172	0.3319295198
173	0.3316669382
174	0.3314117972
175	0.3311018313
176	0.3308039098
177	0.3305465035
178	0.3302875641
179	0.3300718331
180	0.3298215966
181	0.329561671
182	0.3293233029
183	0.3290857165
184	0.3288579098
185	0.3286154558
186	0.328412452
187	0.3281696992
188	0.3279738047
189	0.3277760394
190	0.3275816112
191	0.3273748808
192	0.3271789025
193	0.3269888562
194	0.3268079077
195	0.3266406206
196	0.3264364136
197	0.3262643424
198	0.3260735763
199	0.3259056454
200	0.3256971566
201	0.3255374562
202	0.3253752743
203	0.3251587227
204	0.3250312018
205	0.3248312838
206	0.3246394604
207	0.3245036635
208	0.3243629867
209	0.3242104865
210	0.3240473172
211	0.3239070224
212	0.3237470417
213	0.3235616014
214	0.3233825102
215	0.3232279269
216	0.3230510889
217	0.3228845227
218	0.3227254571
219	0.3225745799
220	0.3223983832
221	0.3222428327
222	0.3220891456
223	0.3219862339
224	0.3218355072
225	0.3216961297
226	0.3215958433
227	0.3214580082
228	0.3212963445
229	0.3211858618
230	0.3210451922
231	0.3209389332
232	0.3207861822
233	0.3206711789
234	0.3205307361
235	0.3204350856
236	0.3203166594
237	0.3202024358
238	0.3200990281
239	0.3199646889
240	0.3198536088
241	0.319688752
242	0.3195754585
243	0.319438217
244	0.319301488
245	0.3191905283
246	0.3190894303
247	0.3189683014
248	0.3188770176
249	0.3187538162
250	0.3186361567
251	0.3185418684
252	0.3184367248
253	0.3183330683
254	0.318205428
255	0.3181248433
256	0.3179912434
257	0.3178872302
258	0.3177812044
259	0.3176857567
260	0.3176221616
261	0.3175445529
262	0.3174626877
263	0.3173683192
264	0.3172761916
265	0.3171676132
266	0.3170598323
267	0.3169547272
268	0.3168589409
269	0.3167729916
270	0.3166916966
271	0.3165766764
272	0.3164709447
273	0.3163719173
274	0.3162481939
275	0.3161619254
276	0.316068815
277	0.3159683806
278	0.3158847958
279	0.3157863089
280	0.3157120372
281	0.3156126223
282	0.3155174087
283	0.3154546049
284	0.3153455592
285	0.315248367
286	0.3151649394
287	0.3150705648
288	0.31498618
289	0.3149024961
290	0.3148211385
291	0.3147561408
292	0.3146596149
293	0.3145817665
294	0.3145070943
295	0.3144294977
296	0.3143739775
297	0.3142960731
298	0.3142222097
299	0.3141779
300	0.31408883
301	0.3139969435
302	0.3139197634
303	0.3138523481
304	0.3137844931
305	0.3137350428
306	0.3136453967
307	0.313568993
308	0.3134982712
309	0.3134239449
310	0.3133623202
311	0.3133052613
312	0.3132544372
313	0.3131836112
314	0.3131184831
315	0.3130547072
316	0.3129958071
317	0.3129411062
318	0.3128867916
319	0.312818547
320	0.3127767901
321	0.3127160484
322	0.3126429511
323	0.3126007403
324	0.312536053
325	0.3124758776
326	0.3124056954
327	0.3123527239
328	0.312287561
329	0.3122174763
330	0.3121616993
331	0.3120848022
332	0.3120285305
333	0.3119561163
334	0.3119022965
335	0.3118661507
336	0.3117976813
337	0.3117295929
338	0.311649603
339	0.3115845579
340	0.3115307655
341	0.3114695334
342	0.3113908267
343	0.3113299402
344	0.3112580565
345	0.3112021664
346	0.3111547263
347	0.3111044538
348	0.3110560605
349	0.3110125538
350	0.3109405622
351	0.3108796524
352	0.3108334726
353	0.3107622516
354	0.3106988082
355	0.3106389836
356	0.3105815315
357	0.3105166634
358	0.3104491973
359	0.3103794767
360	0.3103315968
361	0.3102808229
362	0.3102233855
363	0.3101716411
364	0.3101053161
365	0.3100649093
366	0.3100165729
367	0.3099515231
368	0.309869969
369	0.3098107246
370	0.3097697283
371	0.3097133575
372	0.3096613518
373	0.3095988419
374	0.3095445027
375	0.309470687
376	0.3094298457
377	0.309362032
378	0.3092967585
379	0.3092285447
380	0.3091849268
381	0.3091478317
382	0.3091085039
383	0.3090596116
384	0.309029685
385	0.3089877281
386	0.3089298786
387	0.3088873123
388	0.308834975
389	0.3087794059
390	0.3087156254
391	0.3086584194
392	0.3086192113
393	0.308565853
394	0.308516425
395	0.3084578616
396	0.3084067806
397	0.3083497614
398	0.308288196
399	0.3082515806
400	0.3081829985
401	0.3081426885
402	0.3081051882
403	0.3080697972
404	0.3080256848
405	0.3079854886
406	0.3079383645
407	0.3079041949
408	0.3078452909
409	0.3078071699
410	0.3077678732
411	0.3077208226
412	0.3076881367
413	0.3076517156
414	0.3076073419
415	0.3075478948
416	0.3075124298
417	0.3074564644
418	0.30741665
419	0.3073808287
420	0.307336891
421	0.3072915505
422	0.3072389265
423	0.3071907245
424	0.307146917
425	0.3071040404
426	0.30705459
427	0.3070145223
428	0.3069705515
429	0.3069354751
430	0.306891753
431	0.3068506905
432	0.3067969839
433	0.3067525349
434	0.3067144312
435	0.30666592
436	0.3066100979
437	0.3065682124
438	0.3065227175
439	0.3064751906
440	0.3064250419
441	0.306387279
442	0.3063383293
443	0.3062842714
444	0.3062374278
445	0.3061991328
446	0.3061627642
447	0.3061018256
448	0.3060701055
449	0.3060289973
450	0.3059682879
451	0.3059247836
452	0.3058654224
453	0.3058214975
454	0.3057569852
455	0.3057172518
456	0.305677563
457	0.3056407238
458	0.3055984451
459	0.3055557626
460	0.3055154642
461	0.3054669045
462	0.3054278065
463	0.305384572
464	0.3053488125
465	0.3052995097
466	0.3052383609
467	0.3051983204
468	0.3051569977
469	0.3051007977
470	0.305052766
471	0.3050163261
472	0.30496995
473	0.3049191854
474	0.3048811326
475	0.3048507029
476	0.3048227301
477	0.3047687824
478	0.3047290833
479	0.3046867063
480	0.3046591191
481	0.3046148524
482	0.3045875011
483	0.3045508041
484	0.3045314561
485	0.3044813592
486	0.3044369566
487	0.304403238
488	0.3043641726
489	0.3043292435
490	0.3042963049
491	0.3042469297
492	0.3042220444
493	0.3041828633
494	0.3041546112
495	0.3041092512
496	0.3040522964
497	0.3040144648
498	0.3039643522
499	0.303908953
500	0.3038693613
501	0.3038133293
502	0.3037820254
503	0.3037467866
504	0.3037128225
505	0.303690823
506	0.3036718446
507	0.3036333536
508	0.3036053951
509	0.3035532978
510	0.3035225024
511	0.3034728238
512	0.3034328556
513	0.3033778813
514	0.3033246116
515	0.3033028966
516	0.3032693755
517	0.3032413269
518	0.3032062445
519	0.3031588797
520	0.3031346419
521	0.3030892376
522	0.3030607874
523	0.3030361306
524	0.303014971
525	0.3029756663
526	0.3029293592
527	0.3028802157
528	0.3028425596
529	0.3028129549
530	0.3027766727
531	0.3027386573
532	0.3027065008
533	0.3026772667
534	0.3026364974
535	0.3026082683
536	0.3025821462
537	0.3025404098
538	0.3025002042
539	0.302468595
540	0.3024399496
541	0.3024221467
542	0.3023880978
543	0.3023555655
544	0.3023174663
545	0.3022799077
546	0.3022434911
547	0.3021981482
548	0.30217312
549	0.302155151
550	0.3021205856
551	0.3020893055
552	0.3020437013
553	0.3020179025
554	0.301972624
555	0.3019357157
556	0.301897657
557	0.3018452668
558	0.3018057562
559	0.3017779915
