iter	Passed	Remaining
407	5689	29240
408	5702	29224
409	5717	29213
410	5732	29204
411	5747	29196
412	5760	29180
413	5774	29164
414	5788	29150
415	5804	29145
416	5819	29138
417	5832	29123
418	5846	29108
419	5860	29092
420	5873	29075
421	5887	29062
422	5902	29050
423	5916	29036
424	5929	29019
425	5942	29002
426	5955	28983
427	5969	28968
428	5983	28953
429	5996	28937
430	6010	28922
431	6024	28909
432	6038	28894
433	6051	28878
434	6064	28858
435	6077	28840
436	6090	28823
437	6103	28805
438	6116	28786
439	6130	28770
440	6143	28751
441	6156	28736
442	6170	28720
443	6183	28704
444	6196	28686
445	6209	28668
446	6223	28653
447	6236	28634
448	6249	28617
449	6263	28601
450	6281	28607
451	6299	28611
452	6316	28613
453	6332	28606
454	6347	28598
455	6361	28586
456	6376	28573
457	6390	28561
458	6404	28547
459	6418	28535
460	6433	28524
461	6447	28511
462	6462	28501
463	6477	28494
464	6493	28488
465	6509	28484
466	6526	28481
467	6541	28471
468	6555	28459
469	6571	28453
470	6587	28449
471	6603	28440
472	6618	28433
473	6634	28425
474	6650	28421
475	6667	28420
476	6681	28406
477	6695	28393
478	6709	28379
479	6724	28369
480	6738	28355
481	6752	28340
482	6766	28324
483	6779	28308
484	6792	28290
485	6806	28277
486	6820	28260
487	6833	28243
488	6846	28226
489	6861	28214
490	6875	28200
491	6888	28184
492	6902	28169
493	6915	28151
494	6928	28134
495	6942	28119
496	6955	28102
497	6968	28083
498	6981	28066
499	6994	28048
500	7007	28030
501	7020	28012
502	7033	27995
503	7046	27976
504	7061	27965
505	7075	27954
506	7090	27944
507	7105	27931
508	7119	27916
509	7133	27902
510	7146	27886
511	7159	27870
512	7172	27849
513	7185	27832
514	7199	27818
515	7213	27803
516	7226	27788
517	7239	27770
518	7254	27760
519	7269	27748
520	7283	27736
521	7297	27723
522	7311	27708
523	7325	27694
524	7341	27686
525	7354	27671
526	7368	27656
527	7382	27641
528	7395	27623
529	7408	27608
530	7423	27595
531	7436	27578
532	7448	27559
533	7462	27543
534	7475	27525
535	7488	27508
536	7501	27490
537	7514	27473
538	7527	27458
539	7541	27441
540	7553	27422
541	7566	27403
542	7579	27386
543	7592	27369
544	7606	27354
545	7618	27335
546	7631	27316
547	7646	27307
548	7659	27289
549	7672	27272
550	7685	27255
551	7699	27239
552	7713	27226
553	7727	27212
554	7740	27196
555	7753	27177
556	7765	27159
557	7778	27142
558	7792	27126
559	7805	27109
560	7818	27093
561	7832	27078
562	7849	27074
563	7865	27068
564	7882	27064
565	7896	27050
566	7910	27039
567	7924	27024
568	7939	27012
569	7953	27001
570	7968	26989
571	7982	26975
572	7995	26960
573	8009	26945
574	8023	26929
575	8036	26914
576	8049	26898
577	8068	26898
578	8082	26884
579	8097	26874
580	8111	26861
581	8124	26845
582	8138	26830
583	8152	26815
584	8165	26799
585	8178	26783
586	8192	26768
587	8206	26753
588	8220	26742
589	8235	26730
590	8251	26723
591	8265	26709
592	8278	26691
593	8292	26679
594	8306	26663
595	8319	26647
596	8334	26637
597	8350	26628
598	8365	26619
599	8378	26603
600	8391	26585
601	8404	26568
602	8417	26550
603	8431	26535
604	8443	26518
605	8458	26504
606	8473	26494
607	8486	26479
608	8501	26466
609	8515	26452
610	8529	26439
611	8542	26424
612	8556	26410
613	8570	26396
614	8584	26381
615	8598	26368
616	8612	26354
617	8626	26340
618	8640	26326
619	8655	26314
620	8668	26299
621	8681	26282
622	8694	26265
623	8708	26250
624	8721	26234
625	8735	26219
626	8747	26201
627	8761	26186
628	8774	26169
629	8786	26151
630	8800	26135
631	8813	26119
632	8826	26102
633	8840	26087
634	8853	26071
635	8865	26054
636	8878	26036
637	8892	26021
638	8905	26006
639	8919	25991
640	8932	25976
641	8945	25958
642	8958	25941
643	8971	25924
644	8983	25906
645	8996	25888
646	9009	25873
647	9023	25860
648	9037	25844
649	9050	25829
650	9064	25814
651	9077	25797
652	9089	25779
653	9101	25760
654	9113	25741
655	9126	25724
656	9139	25707
657	9152	25689
658	9164	25671
659	9177	25654
660	9189	25636
661	9203	25621
662	9216	25605
663	9231	25596
664	9245	25582
665	9259	25567
666	9272	25552
667	9285	25535
668	9299	25520
669	9312	25504
670	9327	25494
671	9341	25480
672	9356	25468
673	9370	25455
674	9385	25444
675	9400	25433
676	9414	25420
677	9428	25406
678	9442	25393
679	9456	25379
680	9469	25363
681	9482	25348
682	9495	25331
683	9509	25316
684	9522	25300
685	9535	25285
686	9548	25269
687	9562	25253
688	9575	25238
689	9588	25222
690	9601	25206
691	9614	25190
692	9628	25175
693	9642	25163
694	9655	25147
695	9669	25131
696	9681	25114
697	9694	25097
698	9706	25079
699	9719	25062
700	9732	25046
701	9745	25030
702	9758	25014
703	9772	25001
704	9786	24986
705	9799	24970
706	9813	24956
707	9826	24940
708	9839	24924
709	9852	24909
710	9865	24893
711	9878	24877
712	9892	24862
713	9905	24847
714	9918	24832
715	9932	24816
716	9945	24800
717	9958	24786
718	9971	24770
719	9986	24757
720	10000	24744
721	10016	24735
722	10031	24725
723	10045	24712
724	10060	24699
725	10074	24685
726	10088	24673
727	10102	24660
728	10115	24644
729	10129	24630
730	10142	24613
731	10156	24600
732	10170	24586
733	10184	24573
734	10199	24561
735	10214	24550
736	10230	24541
737	10245	24531
738	10261	24522
739	10275	24508
740	10288	24493
741	10302	24478
742	10316	24464
743	10329	24449
744	10343	24436
745	10358	24423
746	10371	24408
747	10386	24396
748	10400	24384
749	10416	24373
750	10430	24361
751	10444	24346
752	10457	24330
753	10470	24315
754	10483	24299
755	10497	24285
756	10511	24271
757	10524	24255
758	10537	24239
759	10550	24223
760	10562	24206
761	10575	24190
762	10588	24173
763	10600	24156
764	10612	24139
765	10625	24123
766	10639	24108
767	10651	24091
768	10664	24074
769	10678	24060
770	10690	24044
771	10704	24029
772	10718	24015
773	10731	23999
774	10744	23983
775	10756	23967
776	10771	23954
777	10784	23938
778	10797	23924
779	10810	23908
780	10823	23892
781	10836	23876
782	10849	23859
783	10862	23844
784	10874	23826
785	10887	23810
786	10898	23792
787	10911	23774
788	10923	23758
789	10936	23741
790	10949	23725
791	10963	23712
792	10977	23699
793	10991	23686
794	11006	23673
795	11019	23657
796	11032	23643
797	11046	23629
798	11059	23613
799	11072	23597
800	11086	23583
801	11100	23570
802	11113	23555
803	11126	23540
804	11139	23524
805	11154	23512
806	11167	23498
807	11181	23483
808	11194	23468
809	11209	23456
810	11224	23444
811	11236	23428
812	11250	23414
813	11263	23397
814	11276	23383
815	11290	23368
816	11304	23355
817	11317	23339
818	11330	23324
819	11343	23309
820	11355	23292
821	11369	23277
822	11382	23263
823	11395	23247
824	11410	23236
825	11426	23226
826	11441	23214
827	11455	23200
828	11468	23186
829	11481	23169
830	11493	23153
831	11506	23138
832	11520	23123
833	11533	23107
834	11545	23091
835	11559	23077
836	11573	23064
837	11586	23048
838	11599	23032
839	11612	23017
840	11625	23002
841	11638	22987
842	11651	22971
843	11664	22956
844	11677	22940
845	11690	22925
846	11703	22909
847	11716	22894
848	11730	22880
849	11743	22864
850	11756	22850
851	11771	22837
852	11786	22827
853	11800	22812
854	11813	22798
855	11827	22784
856	11840	22768
857	11854	22754
858	11867	22740
859	11880	22724
860	11893	22709
861	11906	22694
862	11919	22679
863	11933	22664
864	11945	22649
865	11959	22634
866	11972	22619
867	11985	22603
868	11998	22588
869	12011	22573
870	12024	22558
871	12038	22544
872	12051	22528
873	12063	22512
874	12075	22495
875	12089	22480
876	12102	22466
877	12115	22451
878	12129	22437
879	12142	22421
880	12154	22405
881	12167	22390
882	12181	22375
883	12196	22364
884	12211	22352
885	12224	22337
886	12236	22321
887	12249	22306
888	12263	22291
889	12276	22277
890	12289	22262
891	12302	22246
892	12316	22233
893	12330	22220
894	12344	22206
895	12357	22191
896	12371	22176
897	12384	22162
898	12399	22150
899	12413	22138
900	12428	22125
901	12442	22112
902	12456	22099
903	12469	22084
904	12482	22069
905	12496	22054
906	12509	22040
907	12525	22030
908	12540	22019
909	12556	22009
910	12573	22000
911	12589	21989
912	12604	21979
913	12618	21965
914	12633	21952
915	12647	21939
916	12661	21925
917	12673	21910
918	12688	21897
919	12702	21884
920	12716	21870
921	12730	21857
922	12744	21844
923	12758	21831
924	12772	21816
925	12785	21801
926	12797	21785
927	12810	21770
928	12823	21754
929	12836	21738
930	12849	21723
931	12861	21706
932	12874	21691
933	12887	21676
934	12899	21660
935	12912	21644
936	12925	21629
937	12938	21614
938	12951	21600
939	12963	21583
940	12976	21568
941	12990	21554
942	13003	21538
943	13016	21523
944	13029	21508
945	13041	21492
946	13055	21479
947	13069	21465
948	13082	21449
949	13095	21434
950	13107	21419
951	13120	21403
952	13133	21388
953	13146	21372
954	13159	21357
955	13171	21342
956	13184	21326
957	13198	21312
958	13211	21298
959	13226	21286
960	13242	21276
961	13257	21264
962	13272	21252
963	13290	21244
964	13304	21232
965	13320	21222
966	13337	21212
967	13353	21202
968	13370	21194
969	13384	21180
970	13397	21165
971	13411	21151
972	13425	21138
973	13439	21124
974	13454	21112
975	13469	21101
976	13484	21089
977	13499	21076
978	13512	21062
979	13526	21048
980	13540	21035
981	13553	21020
982	13568	21007
983	13581	20992
984	13594	20978
985	13607	20963
986	13621	20950
987	13635	20935
988	13648	20921
989	13661	20906
990	13674	20891
991	13688	20877
992	13701	20863
993	13715	20849
994	13728	20834
995	13742	20819
996	13755	20805
997	13768	20790
998	13781	20775
999	13794	20760
1000	13808	20746
1001	13821	20731
1002	13834	20717
1003	13847	20702
1004	13860	20687
1005	13873	20672
1006	13885	20655
1007	13898	20640
1008	13911	20625
1009	13924	20610
1010	13937	20595
1011	13950	20581
1012	13963	20565
1013	13975	20550
1014	13988	20535
1015	14001	20520
1016	14016	20508
1017	14030	20495
1018	14044	20480
1019	14056	20465
1020	14070	20451
1021	14083	20436
1022	14097	20422
1023	14110	20408
1024	14124	20394
1025	14138	20381
1026	14154	20369
1027	14167	20355
1028	14181	20342
1029	14194	20327
1030	14208	20313
1031	14221	20298
1032	14235	20285
1033	14248	20270
1034	14261	20255
1035	14273	20239
1036	14286	20224
1037	14300	20210
1038	14313	20195
1039	14326	20181
1040	14340	20166
1041	14352	20151
1042	14365	20136
1043	14378	20121
1044	14393	20109
1045	14408	20096
1046	14421	20082
1047	14434	20067
1048	14447	20052
1049	14460	20038
1050	14474	20024
1051	14488	20011
1052	14503	19999
1053	14518	19986
1054	14531	19972
1055	14545	19958
1056	14559	19945
1057	14572	19930
1058	14585	19916
1059	14599	19901
1060	14612	19887
1061	14625	19872
1062	14639	19858
1063	14652	19844
1064	14666	19830
1065	14679	19816
1066	14693	19803
1067	14708	19790
1068	14722	19777
1069	14736	19763
1070	14750	19750
1071	14765	19737
1072	14779	19724
1073	14792	19710
1074	14806	19696
1075	14821	19684
1076	14835	19670
1077	14850	19657
1078	14864	19645
1079	14877	19630
1080	14891	19617
1081	14906	19604
1082	14922	19592
1083	14936	19579
1084	14951	19567
1085	14965	19554
1086	14979	19541
1087	14994	19528
1088	15011	19519
1089	15025	19505
1090	15038	19490
1091	15052	19477
1092	15066	19463
1093	15080	19450
1094	15094	19436
1095	15108	19423
1096	15121	19408
1097	15135	19395
1098	15150	19382
1099	15165	19370
1100	15181	19359
1101	15198	19349
1102	15213	19337
1103	15228	19325
1104	15243	19313
1105	15257	19299
1106	15270	19284
1107	15284	19270
1108	15297	19256
1109	15311	19242
1110	15325	19228
1111	15339	19215
1112	15352	19201
1113	15365	19186
1114	15379	19172
1115	15392	19157
1116	15406	19144
1117	15419	19129
1118	15432	19115
1119	15445	19100
1120	15458	19084
1121	15471	19070
1122	15485	19056
1123	15498	19042
1124	15513	19029
1125	15529	19018
1126	15542	19004
1127	15555	18989
1128	15569	18975
1129	15581	18960
1130	15595	18946
1131	15609	18932
1132	15625	18921
1133	15638	18907
1134	15652	18893
1135	15666	18879
1136	15681	18867
1137	15697	18855
1138	15711	18842
1139	15726	18829
1140	15740	18817
1141	15754	18803
1142	15768	18789
1143	15783	18776
1144	15797	18763
1145	15811	18750
1146	15825	18736
1147	15838	18722
1148	15852	18708
1149	15866	18695
1150	15880	18681
1151	15894	18668
1152	15909	18655
1153	15923	18642
1154	15939	18630
1155	15953	18617
1156	15967	18603
1157	15981	18590
1158	15994	18575
1159	16008	18561
1160	16021	18547
1161	16035	18533
1162	16048	18518
1163	16062	18504
1164	16075	18489
1165	16089	18476
1166	16102	18462
1167	16116	18448
1168	16129	18434
1169	16143	18419
1170	16158	18408
1171	16172	18393
1172	16185	18379
1173	16198	18364
1174	16211	18349
1175	16223	18333
1176	16235	18318
1177	16248	18303
1178	16262	18290
1179	16276	18276
1180	16290	18263
1181	16304	18248
1182	16317	18234
1183	16330	18220
1184	16345	18207
1185	16359	18193
1186	16374	18181
1187	16389	18168
1188	16404	18157
1189	16419	18144
1190	16434	18131
1191	16448	18117
1192	16463	18105
1193	16478	18093
1194	16493	18081
1195	16509	18069
1196	16524	18056
1197	16540	18045
1198	16555	18033
1199	16570	18019
1200	16583	18005
1201	16596	17990
1202	16608	17975
1203	16621	17960
1204	16634	17945
1205	16647	17931
1206	16661	17917
1207	16674	17902
1208	16688	17889
1209	16701	17874
1210	16714	17860
1211	16728	17846
1212	16741	17831
1213	16754	17816
1214	16767	17802
1215	16780	17788
1216	16794	17773
1217	16808	17761
1218	16821	17746
1219	16833	17730
1220	16846	17715
1221	16859	17700
1222	16872	17685
1223	16884	17671
1224	16897	17656
1225	16910	17641
1226	16923	17626
1227	16935	17611
1228	16949	17597
1229	16961	17581
1230	16974	17567
1231	16987	17553
1232	17000	17538
1233	17013	17523
1234	17026	17508
1235	17038	17493
1236	17052	17479
1237	17064	17464
1238	17077	17450
1239	17090	17435
1240	17103	17420
1241	17117	17407
1242	17132	17394
1243	17146	17380
1244	17161	17368
1245	17174	17354
1246	17187	17339
1247	17200	17324
1248	17213	17309
1249	17226	17295
1250	17238	17280
1251	17251	17265
1252	17266	17252
1253	17280	17239
1254	17294	17225
1255	17308	17212
1256	17321	17197
1257	17335	17183
1258	17348	17169
1259	17361	17154
1260	17374	17140
1261	17387	17126
1262	17401	17111
1263	17413	17096
1264	17426	17082
1265	17439	17067
1266	17452	17052
1267	17465	17038
1268	17478	17023
1269	17491	17008
1270	17504	16994
1271	17517	16980
1272	17530	16966
1273	17544	16952
1274	17559	16940
1275	17575	16928
1276	17591	16916
1277	17607	16905
1278	17622	16892
1279	17636	16878
1280	17649	16864
1281	17663	16850
1282	17676	16836
1283	17690	16822
1284	17704	16809
1285	17718	16795
1286	17731	16781
1287	17745	16767
1288	17759	16753
1289	17772	16739
1290	17785	16724
1291	17800	16711
1292	17812	16696
1293	17825	16682
1294	17838	16668
1295	17851	16652
1296	17864	16638
1297	17876	16623
1298	17890	16609
1299	17903	16594
1300	17915	16580
1301	17927	16564
1302	17941	16550
1303	17954	16536
1304	17967	16521
1305	17981	16508
1306	17995	16494
1307	18008	16480
1308	18021	16465
1309	18034	16450
1310	18047	16436
1311	18061	16423
1312	18075	16409
1313	18087	16394
1314	18100	16379
1315	18112	16364
1316	18123	16348
1317	18137	16334
1318	18151	16321
1319	18165	16307
1320	18179	16293
1321	18191	16278
1322	18203	16263
1323	18217	16249
1324	18229	16234
1325	18242	16220
1326	18256	16206
1327	18269	16191
1328	18282	16177
1329	18295	16163
1330	18309	16149
1331	18322	16135
1332	18336	16121
1333	18349	16107
1334	18362	16093
1335	18375	16078
1336	18389	16064
1337	18401	16049
1338	18413	16034
1339	18425	16019
1340	18439	16005
1341	18454	15992
1342	18466	15978
1343	18479	15963
1344	18492	15949
1345	18505	15934
1346	18518	15920
1347	18531	15905
1348	18545	15891
1349	18558	15878
1350	18572	15864
1351	18587	15851
1352	18602	15838
1353	18615	15824
1354	18628	15810
1355	18641	15796
1356	18654	15781
1357	18667	15767
1358	18681	15753
1359	18694	15739
1360	18708	15725
1361	18720	15710
1362	18732	15695
1363	18745	15681
1364	18759	15666
1365	18771	15652
1366	18784	15637
1367	18797	15623
1368	18810	15609
1369	18825	15595
1370	18840	15583
1371	18856	15571
1372	18868	15556
1373	18882	15542
1374	18896	15529
1375	18909	15514
1376	18922	15500
1377	18935	15486
1378	18949	15472
1379	18962	15458
1380	18974	15443
1381	18986	15428
1382	19000	15414
1383	19013	15400
1384	19027	15386
1385	19040	15372
1386	19053	15358
1387	19066	15344
1388	19080	15330
1389	19094	15316
1390	19106	15302
1391	19120	15288
1392	19135	15275
1393	19148	15261
1394	19161	15247
1395	19174	15232
1396	19188	15218
1397	19201	15204
1398	19215	15190
1399	19228	15176
1400	19241	15162
1401	19254	15148
1402	19268	15134
1403	19280	15119
1404	19293	15105
1405	19306	15091
1406	19319	15076
1407	19332	15062
1408	19345	15047
1409	19359	15034
1410	19372	15020
1411	19385	15006
1412	19398	14991
1413	19411	14977
1414	19424	14963
1415	19437	14948
1416	19451	14935
1417	19465	14921
1418	19479	14908
1419	19494	14895
1420	19508	14881
1421	19522	14868
1422	19537	14855
1423	19551	14842
1424	19565	14828
1425	19580	14816
1426	19595	14803
1427	19612	14791
1428	19628	14779
1429	19645	14768
1430	19658	14754
1431	19672	14740
1432	19686	14727
1433	19699	14712
1434	19712	14698
1435	19725	14683
1436	19738	14669
1437	19751	14655
1438	19764	14641
1439	19777	14627
1440	19790	14612
1441	19802	14598
1442	19816	14583
1443	19829	14569
1444	19843	14556
1445	19857	14542
1446	19870	14528
1447	19882	14513
1448	19895	14499
1449	19909	14485
1450	19921	14471
1451	19935	14457
1452	19948	14442
1453	19960	14428
1454	19973	14413
1455	19986	14399
1456	19999	14385
1457	20012	14371
1458	20025	14356
1459	20038	14342
1460	20050	14327
1461	20063	14313
1462	20075	14298
1463	20088	14284
1464	20102	14270
1465	20114	14255
1466	20130	14243
1467	20144	14229
1468	20156	14215
1469	20170	14201
1470	20183	14187
1471	20196	14173
1472	20209	14159
1473	20222	14144
1474	20236	14130
1475	20248	14116
1476	20261	14102
1477	20273	14087
1478	20286	14073
1479	20300	14059
1480	20313	14045
1481	20328	14032
1482	20341	14018
1483	20354	14003
1484	20367	13989
1485	20379	13975
1486	20393	13961
1487	20407	13947
1488	20421	13934
1489	20436	13921
1490	20450	13907
1491	20463	13894
1492	20476	13879
1493	20489	13865
1494	20502	13851
1495	20515	13837
1496	20528	13822
1497	20541	13808
1498	20554	13794
1499	20566	13779
1500	20579	13765
1501	20593	13751
1502	20606	13737
1503	20619	13723
1504	20635	13711
1505	20649	13697
1506	20663	13684
1507	20676	13670
1508	20689	13656
1509	20703	13642
1510	20716	13628
1511	20729	13613
1512	20742	13599
1513	20754	13584
1514	20767	13570
1515	20780	13556
1516	20792	13541
1517	20805	13527
1518	20817	13512
1519	20830	13498
1520	20843	13484
1521	20857	13470
1522	20870	13456
1523	20883	13442
1524	20897	13428
1525	20909	13414
1526	20922	13400
1527	20936	13386
1528	20949	13372
1529	20962	13358
1530	20976	13344
1531	20989	13330
1532	21003	13317
1533	21016	13302
1534	21029	13288
1535	21042	13274
1536	21054	13260
1537	21067	13245
1538	21079	13231
1539	21093	13217
1540	21106	13203
1541	21121	13190
1542	21136	13177
1543	21150	13164
1544	21163	13150
1545	21177	13136
1546	21191	13123
1547	21206	13110
1548	21220	13096
1549	21233	13082
1550	21246	13068
1551	21259	13054
1552	21273	13040
1553	21287	13027
1554	21300	13013
1555	21313	12999
1556	21326	12984
1557	21338	12970
1558	21352	12956
1559	21365	12942
1560	21378	12928
1561	21392	12914
1562	21405	12900
1563	21418	12886
1564	21431	12872
1565	21444	12858
1566	21456	12844
1567	21469	12829
1568	21482	12815
1569	21496	12801
1570	21508	12787
1571	21521	12773
1572	21534	12759
1573	21548	12745
1574	21561	12731
1575	21573	12716
1576	21586	12702
1577	21599	12688
1578	21611	12674
1579	21625	12660
1580	21638	12646
1581	21652	12632
1582	21667	12620
1583	21684	12608
1584	21699	12595
1585	21713	12581
1586	21727	12568
1587	21742	12555
1588	21755	12541
1589	21769	12527
1590	21783	12514
1591	21797	12500
1592	21811	12487
1593	21826	12474
1594	21840	12460
1595	21854	12447
1596	21868	12433
1597	21881	12419
1598	21895	12405
1599	21909	12392
1600	21923	12379
1601	21937	12365
1602	21950	12351
1603	21963	12337
1604	21977	12323
1605	21991	12310
1606	22005	12296
1607	22020	12283
1608	22033	12270
1609	22047	12256
1610	22061	12242
1611	22073	12228
1612	22087	12214
1613	22102	12201
1614	22115	12187
1615	22128	12173
1616	22143	12160
1617	22156	12146
1618	22169	12132
1619	22183	12118
1620	22197	12105
1621	22209	12090
1622	22223	12076
1623	22236	12062
1624	22248	12048
1625	22260	12033
1626	22273	12019
1627	22286	12005
1628	22300	11992
1629	22314	11978
1630	22327	11964
1631	22339	11950
1632	22352	11936
1633	22365	11922
1634	22378	11907
1635	22391	11894
1636	22405	11880
1637	22416	11865
1638	22429	11851
1639	22442	11837
1640	22456	11823
1641	22469	11809
1642	22481	11795
1643	22493	11780
1644	22505	11765
1645	22518	11751
1646	22531	11737
1647	22543	11722
1648	22555	11708
1649	22567	11694
1650	22580	11680
1651	22593	11665
1652	22605	11651
1653	22618	11637
1654	22631	11623
1655	22644	11609
1656	22657	11595
1657	22672	11582
1658	22685	11568
1659	22699	11555
1660	22714	11541
1661	22727	11528
1662	22740	11513
1663	22753	11499
1664	22768	11486
1665	22781	11472
1666	22794	11458
1667	22807	11444
1668	22820	11430
1669	22833	11416
1670	22846	11402
