iter	Logloss
0	0.6870720828
1	0.6809953868
2	0.6749438187
3	0.6691723599
4	0.6632379686
5	0.6576543653
6	0.6517758294
7	0.6462746997
8	0.6408809591
9	0.6355308119
10	0.630407573
11	0.6252351105
12	0.6200484754
13	0.6152136529
14	0.6101797382
15	0.6052846023
16	0.6005590496
17	0.5958707497
18	0.5912267701
19	0.5868660251
20	0.5825394169
21	0.5781017449
22	0.5739473635
23	0.5697542848
24	0.5655533662
25	0.5613270369
26	0.557221109
27	0.5532651063
28	0.5493845783
29	0.5456771548
30	0.5418309824
31	0.5382343426
32	0.5346101738
33	0.5311999273
34	0.527710434
35	0.5242202541
36	0.5209544543
37	0.5177569433
38	0.5146213528
39	0.5114705468
40	0.508312687
41	0.5052020548
42	0.5021968644
43	0.4991657393
44	0.4962978108
45	0.49339184
46	0.4905314257
47	0.487800075
48	0.4850160072
49	0.4823255544
50	0.4797106319
51	0.4770291412
52	0.4744983523
53	0.4719878895
54	0.4695974211
55	0.4671944554
56	0.4648731537
57	0.4625673147
58	0.4603155972
59	0.458132383
60	0.4558593781
61	0.4537206903
62	0.4515603076
63	0.4494735081
64	0.4474486126
65	0.445372513
66	0.4433000998
67	0.4412591878
68	0.4393812933
69	0.4374721207
70	0.43554578
71	0.433767852
72	0.4319701934
73	0.4302866185
74	0.4285997937
75	0.426933369
76	0.4253158883
77	0.4236067549
78	0.4219345633
79	0.4202513976
80	0.4185899206
81	0.4170846793
82	0.4156152121
83	0.4141811059
84	0.4127490051
85	0.4111574929
86	0.4096900991
87	0.4083406965
88	0.4070175094
89	0.4056648269
90	0.4043203475
91	0.4030836372
92	0.4018033093
93	0.400518967
94	0.3992171452
95	0.3980808424
96	0.3969636389
97	0.395732344
98	0.3945453814
99	0.3934448407
100	0.3923480424
101	0.3912493977
102	0.3901165536
103	0.3890311445
104	0.3879384065
105	0.3869450674
106	0.3858837036
107	0.3848483556
108	0.3838798987
109	0.3829497034
110	0.3819729985
111	0.380941245
112	0.3800577716
113	0.3791763879
114	0.3782906291
115	0.3774605161
116	0.376541796
117	0.3757013535
118	0.3749007885
119	0.3741037606
120	0.3732960115
121	0.3725194483
122	0.3717112847
123	0.3709464948
124	0.3702089147
125	0.3693569267
126	0.3686053872
127	0.3678900569
128	0.3671640123
129	0.3664522534
130	0.3656858422
131	0.3650438474
132	0.3643507562
133	0.3636375682
134	0.3630198266
135	0.3623756182
136	0.3617388288
137	0.3610866631
138	0.3604791553
139	0.35992146
140	0.359335994
141	0.3587030485
142	0.358042922
143	0.3574684006
144	0.3568563545
145	0.3563246143
146	0.3557530963
147	0.3551914612
148	0.3546801425
149	0.3542208028
150	0.3536979209
151	0.3531758345
152	0.3527117695
153	0.3522788769
154	0.3517900671
155	0.3513215778
156	0.3507416409
157	0.3502988949
158	0.3498267088
159	0.3493676051
160	0.3489361446
161	0.3484547343
162	0.3479817925
163	0.34754395
164	0.3470470207
165	0.34666471
166	0.3462400339
167	0.3458238627
168	0.345388007
169	0.344960968
170	0.3445015448
171	0.3441194966
172	0.3437130457
173	0.3433314445
174	0.3429689171
175	0.3425339832
176	0.3421579658
177	0.341792484
178	0.3414137622
179	0.3410518875
180	0.3406625011
181	0.340279636
182	0.3399030062
183	0.3395352996
184	0.3392366879
185	0.3388942939
186	0.3385687137
187	0.3382285461
188	0.3379532615
189	0.3376620545
190	0.3373364882
191	0.3370333836
192	0.336714466
193	0.336370157
194	0.3361035669
195	0.3358271588
196	0.3354791673
197	0.3351842306
198	0.334870498
199	0.3346052968
200	0.3343450128
201	0.334109834
202	0.3338641211
203	0.3336198927
204	0.3333743466
205	0.3331277754
206	0.3328201208
207	0.3325655807
208	0.3323348174
209	0.3321157398
210	0.3318684634
211	0.3316289782
212	0.3314085899
213	0.3312157305
214	0.3309632237
215	0.3306871925
216	0.3304898797
217	0.3302863054
218	0.3301001217
219	0.3298572458
220	0.3296030202
221	0.329378249
222	0.3291862167
223	0.3289988713
224	0.3288134087
225	0.328598209
226	0.3283768752
227	0.3281824412
228	0.32794252
229	0.3277473644
230	0.3275809885
231	0.3273992289
232	0.3272195192
233	0.3270442577
234	0.3268154331
235	0.3266545699
236	0.3264556588
237	0.3262822503
238	0.3261262156
239	0.3259519114
240	0.3257524055
241	0.3255532031
242	0.3253695859
243	0.3251658085
244	0.3249748267
245	0.3248508129
246	0.3246871104
247	0.3245643593
248	0.3243895476
249	0.3241964021
250	0.3240396717
251	0.3238874302
252	0.3237088598
253	0.3235420555
254	0.3233988562
255	0.3232522038
256	0.3231116332
257	0.3229520359
258	0.3227999785
259	0.322647156
260	0.3224908891
261	0.3223530642
262	0.3221816533
263	0.3220168747
264	0.3218798443
265	0.3217157321
266	0.3215687462
267	0.3214284505
268	0.3213270906
269	0.3212039101
270	0.3210643607
271	0.3209261098
272	0.3207821488
273	0.3206628285
274	0.3205226528
275	0.320415678
276	0.3202671306
277	0.320138321
278	0.3199890184
279	0.3198634752
280	0.3197619472
281	0.3196494345
282	0.3195142027
283	0.3194005559
284	0.3192493591
285	0.3191129796
286	0.318991339
287	0.3188516587
288	0.3187356665
289	0.3186413461
290	0.3185015033
291	0.3183891839
292	0.3182919735
293	0.31817428
294	0.3180654028
295	0.3179515509
296	0.3178565238
297	0.3177198441
298	0.3176146306
299	0.3175063232
300	0.3173757744
301	0.3172418605
302	0.3171364077
303	0.3170066495
304	0.3168981699
305	0.3168174537
306	0.3166881563
307	0.3165942484
308	0.3165108996
309	0.3163875055
310	0.3162946829
311	0.3161928068
312	0.3161012846
313	0.3160104203
314	0.3159081873
315	0.3158256198
316	0.3157551381
317	0.3156536672
318	0.3155573599
319	0.3154781869
320	0.3154011368
321	0.3153048043
322	0.3152130327
323	0.3151352509
324	0.3150286417
325	0.3149457059
326	0.3148615126
327	0.3147779455
328	0.3146847748
329	0.3145946791
330	0.3145140021
331	0.314404348
332	0.3143566244
333	0.3142971334
334	0.3142209187
335	0.314136264
336	0.3140273135
337	0.3139418953
338	0.3138243351
339	0.3137435633
340	0.3136622419
341	0.3135754599
342	0.3134886462
343	0.3133994509
344	0.3133136241
345	0.3132236
346	0.3131490451
347	0.3130749377
348	0.3129990822
349	0.3129265896
350	0.3128582051
351	0.312774651
352	0.3126960458
353	0.3126109287
354	0.3125317719
355	0.312450727
356	0.3123467937
357	0.3122615752
358	0.3121451905
359	0.3120700209
360	0.3119992802
361	0.3119366944
362	0.3118480323
363	0.3117506642
364	0.3116623136
365	0.3115576248
366	0.3114515866
367	0.3113520212
368	0.3113010171
369	0.3112169196
370	0.3111421476
371	0.3110466376
372	0.3109666584
373	0.310898714
374	0.3108279076
375	0.3107473126
376	0.3106852301
377	0.310612176
378	0.3105207943
379	0.3104450489
380	0.3103815718
381	0.3103000115
382	0.310220858
383	0.310157173
384	0.3100907927
385	0.3100099027
386	0.3099256004
387	0.3098580086
388	0.3097712846
389	0.3097104761
390	0.3096164404
391	0.3095184492
392	0.3094512855
393	0.3093928343
394	0.3093349911
395	0.309284681
396	0.3092140641
397	0.3091358476
398	0.3090599906
399	0.3089795841
400	0.3089017546
401	0.3088427361
402	0.3087699223
403	0.3087092146
404	0.3086583472
405	0.3086150674
406	0.3085367432
407	0.3085023607
408	0.3084465778
409	0.3083819765
410	0.3083431221
411	0.3082838294
412	0.3082188788
413	0.3081534107
414	0.3080902866
415	0.3080135664
416	0.3079617556
417	0.3078826368
418	0.3078181911
419	0.3077560653
420	0.3076979376
421	0.3076364882
422	0.307572876
423	0.3074982694
424	0.3074393436
425	0.307371824
426	0.3072879153
427	0.3072247087
428	0.3071718211
429	0.3071225861
430	0.3070489333
431	0.3070071729
432	0.3069649258
433	0.3069094931
434	0.3068620432
435	0.3068132295
436	0.3067374427
437	0.3066862549
438	0.3066235018
439	0.3065726587
440	0.3065055886
441	0.3064551527
442	0.3063996551
443	0.3063371711
444	0.3062889054
445	0.306231995
446	0.3061804094
447	0.3061301038
448	0.3060775284
449	0.3059998752
450	0.3059413764
451	0.3058661872
452	0.3057938078
453	0.30571927
454	0.3056568626
455	0.3055909165
456	0.3055403008
457	0.3054801188
458	0.3054072432
459	0.3053390166
460	0.305283799
461	0.3052203085
462	0.3051592616
463	0.3051122193
464	0.3050664169
465	0.3050252583
466	0.3049683745
467	0.3049302227
468	0.3048896858
469	0.3048508557
470	0.3047938964
471	0.3047196481
472	0.3046662592
473	0.30460914
474	0.3045540824
475	0.3044956539
476	0.3044384036
477	0.3043811616
478	0.3043473069
479	0.3042809627
480	0.3042192535
481	0.3041642405
482	0.3041068759
483	0.3040502713
484	0.3040059478
485	0.3039423706
486	0.3038968406
487	0.3038275373
488	0.3037787565
