iter	Passed	Remaining
403	10156	42839
404	10181	42813
405	10207	42789
406	10231	42760
407	10254	42726
408	10277	42694
409	10302	42667
410	10333	42667
411	10359	42646
412	10384	42620
413	10410	42598
414	10433	42565
415	10458	42539
416	10482	42509
417	10507	42480
418	10531	42454
419	10559	42438
420	10582	42404
421	10611	42396
422	10666	42488
423	10707	42528
424	10742	42539
425	10766	42508
426	10790	42481
427	10815	42453
428	10839	42424
429	10863	42391
430	10887	42361
431	10910	42328
432	10934	42298
433	10958	42268
434	10982	42238
435	11007	42211
436	11032	42185
437	11061	42176
438	11086	42147
439	11109	42116
440	11131	42078
441	11153	42040
442	11176	42005
443	11199	41974
444	11224	41946
445	11247	41914
446	11273	41890
447	11295	41852
448	11318	41820
449	11343	41795
450	11373	41786
451	11400	41767
452	11425	41742
453	11451	41720
454	11478	41699
455	11505	41680
456	11531	41659
457	11554	41625
458	11576	41589
459	11599	41556
460	11622	41524
461	11648	41500
462	11675	41481
463	11702	41461
464	11725	41431
465	11749	41402
466	11772	41367
467	11795	41333
468	11819	41306
469	11844	41278
470	11871	41261
471	11899	41244
472	11924	41218
473	11949	41192
474	11973	41162
475	11994	41124
476	12018	41095
477	12042	41064
478	12064	41031
479	12088	41000
480	12112	40969
481	12134	40933
482	12156	40899
483	12178	40864
484	12201	40831
485	12224	40797
486	12248	40768
487	12271	40738
488	12298	40719
489	12322	40690
490	12347	40665
491	12372	40638
492	12396	40609
493	12417	40569
494	12440	40536
495	12463	40506
496	12485	40471
497	12507	40437
498	12536	40422
499	12566	40413
500	12597	40406
501	12624	40389
502	12653	40374
503	12689	40386
504	12734	40422
505	12772	40438
506	12803	40429
507	12834	40423
508	12865	40415
509	12889	40386
510	12918	40374
511	12948	40364
512	12978	40352
513	13005	40330
514	13033	40314
515	13063	40304
516	13095	40299
517	13125	40287
518	13153	40270
519	13182	40258
520	13217	40262
521	13247	40249
522	13277	40238
523	13306	40225
524	13334	40205
525	13361	40187
526	13388	40165
527	13418	40153
528	13450	40147
529	13478	40130
530	13516	40140
531	13549	40138
532	13581	40131
533	13608	40112
534	13643	40113
535	13678	40116
536	13708	40105
537	13738	40091
538	13765	40071
539	13793	40053
540	13822	40036
541	13855	40031
542	13886	40021
543	13917	40012
544	13944	39990
545	13971	39969
546	13998	39946
547	14025	39925
548	14053	39906
549	14081	39888
550	14110	39872
551	14139	39857
552	14169	39842
553	14197	39824
554	14227	39811
555	14254	39790
556	14284	39777
557	14316	39768
558	14345	39751
559	14375	39737
560	14405	39724
561	14434	39707
562	14459	39680
563	14487	39661
564	14518	39649
565	14545	39628
566	14575	39613
567	14605	39600
568	14634	39583
569	14663	39565
570	14694	39555
571	14724	39540
572	14754	39526
573	14784	39510
574	14814	39497
575	14842	39478
576	14874	39467
577	14906	39458
578	14930	39427
579	14957	39405
580	14985	39386
581	15014	39368
582	15042	39347
583	15070	39327
584	15099	39310
585	15129	39295
586	15159	39279
587	15189	39264
588	15220	39252
589	15250	39236
590	15281	39224
591	15312	39212
592	15346	39206
593	15374	39186
594	15399	39158
595	15422	39126
596	15448	39100
597	15470	39065
598	15494	39034
599	15521	39010
600	15545	38979
601	15569	38948
602	15592	38916
603	15615	38883
604	15638	38851
605	15665	38828
606	15690	38798
607	15714	38769
608	15738	38740
609	15777	38745
610	15812	38741
611	15837	38714
612	15867	38697
613	15896	38679
614	15920	38648
615	15946	38623
616	15970	38593
617	15994	38562
618	16017	38530
619	16041	38499
620	16067	38475
621	16097	38457
622	16124	38434
623	16149	38405
624	16174	38377
625	16198	38348
626	16222	38318
627	16244	38283
628	16264	38243
629	16287	38210
630	16310	38178
631	16332	38144
632	16357	38116
633	16381	38085
634	16403	38050
635	16427	38020
636	16449	37985
637	16472	37954
638	16497	37925
639	16522	37897
640	16557	37893
641	16581	37863
642	16606	37835
643	16629	37804
644	16650	37767
645	16671	37730
646	16694	37697
647	16717	37665
648	16739	37632
649	16762	37600
650	16787	37572
651	16813	37547
652	16843	37530
653	16866	37497
654	16891	37470
655	16915	37440
656	16941	37414
657	16965	37386
658	16991	37361
659	17016	37332
660	17041	37306
661	17064	37274
662	17086	37239
663	17112	37215
664	17142	37198
665	17175	37187
666	17202	37165
667	17237	37159
668	17266	37140
669	17291	37111
670	17315	37082
671	17342	37058
672	17367	37031
673	17391	37003
674	17418	36977
675	17444	36952
676	17468	36923
677	17493	36895
678	17517	36865
679	17539	36833
680	17562	36800
681	17584	36767
682	17606	36734
683	17628	36700
684	17655	36676
685	17677	36643
686	17701	36614
687	17724	36582
688	17747	36551
689	17769	36516
690	17792	36486
691	17816	36457
692	17841	36429
693	17865	36399
694	17886	36365
695	17910	36335
696	17937	36312
697	17960	36282
698	17985	36253
699	18010	36226
700	18033	36195
701	18055	36162
702	18076	36127
703	18097	36093
704	18119	36058
705	18141	36026
706	18167	36000
707	18189	35968
708	18213	35938
709	18235	35906
710	18257	35873
711	18283	35847
712	18305	35814
713	18330	35787
714	18353	35756
715	18376	35725
716	18401	35699
717	18425	35670
718	18449	35641
719	18473	35613
720	18496	35581
721	18518	35549
722	18540	35517
723	18563	35485
724	18586	35456
725	18610	35427
726	18634	35397
727	18657	35367
728	18681	35338
729	18705	35308
730	18729	35281
731	18753	35252
732	18778	35225
733	18803	35198
734	18828	35172
735	18852	35142
736	18878	35119
737	18900	35085
738	18922	35054
739	18946	35024
740	18968	34992
741	18992	34964
742	19015	34934
743	19038	34903
744	19061	34873
745	19083	34842
746	19107	34813
747	19130	34782
748	19154	34754
749	19179	34727
750	19202	34697
751	19228	34672
752	19251	34642
753	19276	34616
754	19300	34586
755	19322	34554
756	19346	34526
757	19369	34496
758	19391	34465
759	19415	34436
760	19439	34408
761	19462	34378
762	19486	34349
763	19510	34322
764	19533	34291
765	19557	34263
766	19581	34234
767	19605	34206
768	19629	34179
769	19653	34151
770	19680	34127
771	19706	34103
772	19727	34069
773	19748	34037
774	19774	34011
775	19796	33981
776	19821	33953
777	19846	33926
778	19868	33895
779	19893	33870
780	19924	33854
781	19946	33822
782	19969	33791
783	19994	33766
784	20019	33739
785	20043	33712
786	20067	33684
787	20092	33658
788	20116	33629
789	20136	33594
790	20158	33564
791	20181	33534
792	20204	33505
793	20226	33473
794	20249	33443
795	20272	33413
796	20295	33384
797	20318	33354
798	20342	33326
799	20364	33295
800	20389	33270
801	20413	33242
802	20438	33215
803	20461	33186
804	20489	33164
805	20515	33140
806	20537	33109
807	20558	33077
808	20582	33048
809	20607	33023
810	20634	33000
811	20672	32993
812	20721	33006
813	20752	32989
814	20775	32960
815	20802	32937
816	20827	32910
817	20854	32888
818	20879	32861
819	20911	32845
820	20943	32831
821	20971	32809
822	20995	32781
823	21016	32748
824	21039	32719
825	21062	32690
826	21085	32660
827	21108	32632
828	21133	32605
829	21156	32575
830	21179	32546
831	21202	32516
832	21224	32487
833	21249	32460
834	21274	32433
835	21299	32407
836	21326	32384
837	21353	32360
838	21375	32330
839	21400	32304
840	21422	32273
841	21444	32243
842	21467	32214
843	21489	32183
844	21512	32153
845	21534	32123
846	21556	32092
847	21580	32064
848	21601	32033
849	21623	32002
850	21648	31975
851	21670	31946
852	21701	31929
853	21730	31909
854	21754	31881
855	21780	31857
856	21804	31829
857	21829	31802
858	21853	31775
859	21879	31750
860	21903	31722
861	21927	31695
862	21948	31663
863	21972	31636
864	21997	31609
865	22021	31583
866	22046	31557
867	22071	31530
868	22096	31504
869	22119	31475
870	22142	31446
871	22166	31418
872	22187	31388
873	22212	31361
874	22236	31334
875	22261	31307
876	22284	31280
877	22310	31255
878	22333	31226
879	22359	31201
880	22382	31173
881	22403	31142
882	22426	31112
883	22448	31083
884	22472	31055
885	22498	31031
886	22521	31001
887	22543	30972
888	22566	30943
889	22589	30914
890	22613	30887
891	22637	30860
892	22661	30832
893	22685	30805
894	22711	30781
895	22736	30754
896	22760	30728
897	22784	30700
898	22809	30674
899	22831	30644
900	22855	30617
901	22877	30587
902	22901	30560
